Type;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
NB;2.24;-969.03;9.61;0.1;0.11;0.12;1561.15;9.14;898.99;18.96;0.8;-345.62;-432.45;7.58;100.23;8.59;0.15;12577.75;7.06;22.89;47.31
NB;19.7;22.84;12.07;3.98;5.17;7.26;223.15;36.29;30.4;64.33;0.14;0.16;1.16;19.7;13.78;142.96;1.148235294;7604.326471;0;0;0
NB;26.36;76.39;66.08;0.62;1.63;1.63;912.46;559.71;555.21;110.7464706;0.65;1.87;2.9;26.36;65.49;40.86;1.148235294;7604.326471;0;0;0
NB;0.46;1.34;0.96;0.64;0.76;2.74;751.33;19.55;184.6;369.8;0.58;1.67;2.89;22.52;65.36;17.77;2.08;2545.1;0;45.53;548.83
NB;2.04;20.95;3.85;0.05;0.16;0.16;687.53;67.29;609.57;110.7464706;0.9;9.28;10.28;11.3;90.28;23.1;0.12;-7034.8;0;17.49;-16.45
NB;2.28;41.98;1.6;0.37;0.85;0.97;255.8;116.26;239.08;28.19;0.95;17.39;18.4;2.28;94.57;4.96;0.64;7604.326471;0;0;0
NB;2.6;4.23;3.55;0.37;0.6;2.25;497.63;16.31;68.74;114.7;0.37;0.6;1.63;11.01;38.62;43.5;1.22;17244.38;12.53;11.5;55.21
NB;8.34;9.86;9.68;2.51;3.42;5.48;422.46;58.71;64.4;135.01;0.15;0.18;1.18;23.93;15.41;73.92;5.47;1574.57;0;18.08;178.1
NB;8.94;22.28;2.76;0.39;1.04;1.05;112.61;43.16;66.59;0.81;0.6;1.49;2.49;13.4;59.9;17.37;1.09;51850;0;1.38;24.83
B;-25.04;152.35;-59.16;0.29;0.46;0.82;860.18;131.75;773.81;279.35;116.43;-708.53;-6.09;-24.41;116.43;-12.32;0.35;7604.326471;0;1.47;-1.25
B;-7.75;-30.49;-23.03;0;0.22;0.86;1081.82;140.91;641.36;416.86;0.71;2.8;3.94;5.11;74.59;0.67;0.69;1193.06;1.82;38.22;1212.17
B;0.32;2.12;1.56;0.01;0.26;0.69;1769.38;100.85;295.24;205.62;0.67;4.46;6.62;7.83;84.89;11.99;0.68;1756.98;43.64;36.5;711.57
B;15.77;64.88;12.94;0;0.24;0.65;298.68;41.49;105.12;72.81;0.66;2.73;4.11;20.97;75.69;36;0.55;2719.8;24.68;4.26;451.67
B;6.37;11.79;243.78;0.18;0.62;0.62;13936.63;419.67;955.46;2.16;0.32;0.59;1.85;6.57;46;52.63;0.82;20798;0;7.83;9.27
B;0.51;3.32;7.12;0;2.17;2.18;5057.67;4803.92;693.02;20.26;0.92;5.95;6.49;0.51;91.78;3.28;4.51;7604.326471;30.41;0;0
B;-1.89;-6.27;-6.11;0;0.47;0.75;1178.38;212.56;341.78;136.16;0.68;2.28;3.32;2.82;69.9;6.46;0.59;11411.26;16.33;15.23;73.62
B;2.14;22.14;1.6;0.01;0.41;0.53;272.1;64.03;138.95;17.67;0.9;9.29;10.36;9.05;89.65;10.92;0.56;12637.45;6.58;3.81;34.31
