Type;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
NB;1.51;15.12;17.86;1.02;1.11;1.11;4314.06;367.66;3834.43;13.7034375;0.9;9.03;10.03;7.73;90.03;1.67;-8.4725;769.6225;0;73.74;75.26
NB;17.4;19.41;14.87;9.92;10.77;10.77;311.19;24.29;28.35;13.7034375;0.1;0.12;1.12;27.83;10.35;168.05;-8.4725;769.6225;0.07;8.92;30.96
NB;2.25;10.54;112.109375;0.07;1.44;1.44;156.75;140.67;102.53;13.7034375;0.79;3.68;4.68;34.73;78.63;7.85;6.62;769.6225;9.46;10.24;56.79
NB;9.76;13.44;15.29;2.35;3.34;3.34;570.1;148.75;151.52;0.19;0.27;0.38;1.38;17.93;27.39;45.3;7.13;769.6225;0;9.14;24.39
NB;3.13;21.69;4.43;0.26;1.17;1.17;514.63;396.26;435.45;13.7034375;85.56;592.3;6.92;3.13;85.56;3.66;-8.4725;769.6225;0;0;0
NB;6.84;10.42;3.16;2.46;2.91;2.91;168.13;25.49;57.14;13.7034375;0.34;0.52;1.52;6.84;34.36;19.91;-8.4725;769.6225;0;0;0
NB;0.43;6.92;0.34;0.03;1.05;1.05;282.98;250.4;244.44;13.7034375;0.94;15;16;21.3;93.75;6.98;1.6;769.6225;0;16.22;71.21
NB;12.28;37.69;60.45;0.64;0.69;0.69;1791.26;55.79;1194.12;13.7034375;67.4;206.79;3.07;12.28;67.4;23.34;0.61;769.6225;0;0;0
NB;2.38;4.31;112.109375;0.05;0.97;0.97;136.08;38.74;42.06;13.7034375;0.45;0.81;1.81;56.99;44.84;15.63;0.97;769.6225;7.49;15.14;58.56
NB;12.6;15.03;2.95;4.37;6.69;7.64;85.1;24.25;11.01;10.48;0.16;0.19;1.19;12.6;16.19;77.82;-8.4725;769.6225;0;0;0
NB;18.91;26.44;45.93;1.56;3.54;3.54;883.92;490.41;246.62;13.7034375;0.28;0.4;1.4;21.91;28.46;66.46;-8.4725;769.6225;0.02;7.28;10.51
NB;15.89;125.55;7.53;0.97;1.1;1.1;172.47;16.06;94.47;0.02;0.87;6.9;7.9;24.06;87.34;23.35;1.3;10446;13.93;2.76;17.57
NB;19.12;20.35;112.109375;16.47;16.47;16.47;1115.23;55.4959375;66.96;13.7034375;0.06;0.06;1.06;27.19;6.07;314.86;-8.4725;769.6225;0;19.93;19.97
NB;67.92;123.36;38.02;2.14;2.24;2.25;203.78;8.79;89.73;0.98;0.45;0.82;1.82;79.97;44.94;151.11;-8.4725;769.6225;0;6.75;13.29
NB;0.48;22.4;112.109375;0.01;0.02;0.02;6069.88;75.28;5874.54;13.7034375;0.98;45.67;46.67;0.48;97.86;5.31;0.02;769.6225;0;0;0
NB;18.96;24.87;23.38;1.8;4.21;4.21;448.8;254.62;105.43;13.7034375;23.78;31.2;1.31;26.65;23.78;118.75;-8.4725;769.6225;0;9.48;18.41
NB;1.79;3.28;3.98;0;0.5;0.56;807.71;160.4;326.01;20.32;0.45;0.83;1.83;7.22;45.34;9.47;0.77;769.6225;3.54;8.9;30.35
NB;0.82;2.11;0.81;1.85;5.02;5.02;358.67;221.91;69.98;13.7034375;0.61;1.57;2.57;93.51;61.07;1.34;78.02;769.6225;0.02;91.33;98.59
B;-0.17;0.13;112.109375;0;0.13;0.44;586.2128125;55.4959375;218.229375;13.7034375;2.29;-1.77;-0.77;-0.17;229.43;-0.07;-10.6;769.6225;0;12.8425;111.7184375
B;-81.98;173.28;112.109375;0;0.7;0.73;279.79;181.29;315.15;10.48;147.31;-311.37;-2.11;-6.43;147.31;-54.55;-10.74;769.6225;17.26;42.68;234.4
B;-34.23;103.54;112.109375;0.15;0.58;0.58;209.74;116.61;253.81;13.7034375;1.33;-4.02;-3.02;-28.71;133.06;-21.99;-1.23;769.6225;6.92;2.31;-38.88
B;-14.52;141.96;112.109375;0.2;0.42;0.91;1001.82;241.71;975.13;529.27;1.1;-10.78;-9.78;-10.37;110.23;-12.8;-8.4725;769.6225;11.6;8.69;-45.5
B;-2.89;3130.47;112.109375;0;1.03;1.05;1333.34;768.94;925.26;22.64;100.09;-108503.77;-1084.04;6.25;100.09;-1.83;1.15;769.6225;13.19;24.3;2445.6
B;0;0;112.109375;1.4521875;0.49;0.49;586.2128125;55.4959375;218.229375;13.7034375;2.05;-1.95;-0.95;0;204.8;0;-8.4725;769.6225;33.01;12.8425;111.7184375
B;-242.18;15.5;-111.27;0;0.02;0.02;167.25;41.9;2620.18;13.7034375;16.62;-1.06;-0.06;85.14;1662.25;-14.24;-21;769.6225;0;150.39;214.35
B;-43.82;269.51;-35.78;0.02;1.13;1.22;297.2;46.37;109.41;19.67;116.01;-713.57;-6.15;3.48;116.01;-36.14;-0.25;14181.92;35.01;27.04;262
B;-37.89;14.8;112.109375;0.01;0.3;0.31;-2721.48;-2439.22;-8440.47;-79.29;355.97;-139.07;-0.39;-19.99;355.97;-10.64;-305.03;769.6225;0;-101.2;-70.23
