Type;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
NB;21.9;34.91;13.98;2.08;2.57;2.68;232.34;42.34;85.58;9.36;0.37;0.59;1.59;24.93;37.27;61.74;2.8625;1255.478929;0.01;1.43;6.03
NB;0.23;0.61;0.52;0.03;0.13;0.74;818.82;49.41;502.27;307.7;62.17;164.37;2.64;6.41;62.17;7.29;0.7;1255.478929;0;10.21;37.22
NB;-2.1;-3.51;-0.67;1.35;1.73;1.81;115.86;17.29;23.92;3.88;40.28;67.44;1.67;17.38;40.28;59.99;2.24;1255.478929;19.32;4.36;28.92
NB;-45.59;44.57;-3.35;0.03;0.65;0.65;26.76;25.19;40.87;34.22013889;2.02;-1.98;-0.98;883.91;202.29;-22.54;2.8625;1255.478929;0;68.32;104.49
NB;-43.35;144.12;-18.26;0.5;1.7;1.7;153.35;52.68;44.11;34.22013889;1.3;-4.32;-3.32;-24.1;130.08;-22.53;1.4;1255.478929;0;8.11;-559.17
NB;2.79;27.93;3;0.18;0.24;0.29;391.07;17.28;308.75;17.65;0.9;9;10;4.27;90;18.24;0.18;1255.478929;6.62;1.59;6.21
NB;7.46;28.14;5.68;0.84;1.18;1.51;277.24;49.63;145.83;48.12;0.73;2.77;3.77;9.32;73.5;14.47;2.37;1255.478929;0;1.42;11.42
NB;1.57;14.28;0.55;0.33;1.4;1.65;127.36;80.95;75.67;18.81;0.89;8.08;9.08;39.74;88.99;1.77;2.8625;1255.478929;0;9.62;54.02
NB;5.47;15.25;3.78;0.22;0.79;1.11;251.65;85.95;156.47;50.03;0.64;1.79;2.79;35.97;64.11;16.07;1.19;1255.478929;0.03;15.14;56.4
NB;12.49;142.66;8.33;0.08;1.04;1.08;242.83;122.21;127.11;4.18;0.91;10.42;11.42;40.48;91.25;29.42;0.21;1255.478929;0;18.68;47.75
NB;14.07;24.08;7.68;3.41;11.07;11.07;198.64;97.85;12.79;34.22013889;0.42;0.71;1.71;40.36;41.56;33.87;2.09;1255.478929;0;14.35;58.75
NB;9.11;58.59;4.83;0.44;0.99;1.03;192.93;40.96;66.47;3.06;0.84;5.43;6.43;41.2;84.46;26.81;0.99;1255.478929;4.48;17.01;52.36
NB;0.85;7.55;0.81;0.04;0.98;0.98;344.53;247.64;242.32;1.45;0.89;7.88;8.88;1.15;88.73;4.84;0.95;1255.478929;15.84;0.21;2.79
NB;-16.97;-30.27;-301.33;0.22;0.3;0.3;6463.31;93.41;727.14;34.22013889;0.44;0.78;1.78;-16.71;43.95;-13.2;0.85;1255.478929;8.79;4.6;-3.21
B;2.8;12.78;3.26;0.04;0.46;0.48;424.27;80.28;191.38;4.38;48.67;222.31;4.57;29.68;48.67;64.83;0.29;1255.478929;0;22.32;48.61
B;-885.79;36.84;-39.74888889;0.01;0.04;0.04;27.97;23.14;688.33;34.22013889;2504.34;-104.16;-0.04;1298.54;2504.34;-35.37;2.8625;1255.478929;0;125.46;125.72
B;-21.52;-252.89;-18.1;0.06;0.46;0.91;306.25;21.22;176.24;92.05;0.91;10.75;11.75;18.22;91.49;-13;0.78;6494.73;22.15;24.66;109.61
B;-52.57;-184.29;-85.81;0;0.09;0.21;594.09;24.83;300.59;35.93;0.71;2.51;3.51;-25.34;71.47;-46.38;0.54;1255.478929;0;29.32;166.78
B;-6.95;-65.49;-17.44;0;1;1.11;913.12;798.14;804.79;88.73;89.13;839.62;9.42;-6.71;89.13;-1.66;7.13;5518.83;0;0.44;82.66
B;-672.51;292.14;-176.72;0.04;0.22;0.22;95.65;58.55;310.72;34.22013889;3.3;-1.43;-0.43;-308.86;330.2;-202.07;-8.67;1255.478929;0;67.6;815.92
B;-21.86;48.78;-71.6;0;0.06;0.09;1192.4;58.74;954.08;39.2;1.45;-3.23;-2.23;-16.72;144.81;-5.79;0.03;1255.478929;35.01;12.3;82.31
B;-93.15;40.17;-77.67;0.935694444;0.12;0.21;303.53;115.63;979.43;88.6;3.32;-1.43;-0.43;-13.13;331.86;-26.24;-7.2;1255.478929;0.05;46.58;-1354.15
B;-0.85;-902.99;-1.17;0.01;1;1.01;501.96;433.29;490.32;3.73;1;1058.79;1059.79;10.48;99.91;-0.54;2.8625;1255.478929;0.07;10.95;103.09
B;-16.9;48.72;-19.38;0.01;0.55;0.59;417.33;254.19;468.63;18.09;134.61;-388.1;-2.88;8.58;134.61;-11.51;-1.02;13371.92;0.04;21.19;179.5
B;-96.06;77.73;-40.6;0;0.16;0.23;153.83;39.34;248.09;18.05;2.24;-1.81;-0.81;44.14;223.59;-38.78;-1.34;9767.93;19.48;43.14;153.21
B;-190.23;98.78;-16.78;0.01;0.12;0.13;32.1;10.09;92.8;0.52;2.93;-1.52;-0.52;313.2;292.58;-46.55;-3.09;1255.478929;0;31.93;95.99
B;-20.11;-142.47;-2278.68;0;0.31;0.31;41255.12;3476.97;11254;21.7;32.34;229.15;7.09;-19.64;32.34;-11.1;0.16;1255.478929;0;33.75;-83.83
B;-15;6.6;-39.74888889;0;0.29;0.29;24184.46;22259.77;75828.46;34.22013889;327.33;-143.99;-0.44;-11.29;327.33;-4.46;-34.15;1255.478929;9.65;141.73;-371.42
